subject,body,label
Quick Favor - Time Sensitive,Your account access will be suspended within 24 hours due to unusual sign-in activity. Click here to verify your credentials immediately and confirm your identity to avoid disruption to payment processing: verify-account-secure-login.com,1
Confidential Request - Action Needed,"This is an urgent request from Michael Torres (CFO). We have a confidential acquisition in progress and I need you to wire $12,400 to the escrow account below today. Do not discuss this with anyone in the office as this deal is not yet public.",1
Office closed Friday - public holiday,"Hi, just confirming receipt of the signed contract. I'll forward this to legal for filing and loop you in once it's fully processed.",0
Re: Proposal review,Thanks for sending this over. I've reviewed the proposal and I think we're good to proceed — let's discuss next steps in our regular Monday call.,0
Payment Update Required Before EOD,"This is Lisa Wagner, VP of Finance at Silverline Inc. I'm currently traveling and my usual assistant is unavailable. I need you to handle a payment of $8,750 discreetly today. Please don't loop in the finance team yet, I'll explain everything when I'm back. Reply to confirm you can action this now.",1
Re: Overdue Invoice - Please Expedite,"This is an urgent request from Lisa Wagner (COO). We have a confidential acquisition in progress and I need you to wire $12,400 to the escrow account below today. Do not discuss this with anyone in the office as this deal is not yet public.",1
Office closed Friday - public holiday,"Good morning, attaching the updated project timeline for your review. Let me know if you have any questions before our sync tomorrow.",0
Updated project timeline attached,Reminder: the office will be closed on Friday for the public holiday. Normal operations resume Monday.,0
URGENT: Wire Transfer Approval Needed Today,"Hi, I need you to process an urgent wire transfer of $48,500 to the contractor before end of day. This is time-sensitive and confidential — please don't discuss this with anyone else right now, I'm in back-to-back meetings and can't take calls. Please confirm once done.",1
Account Verification Required Immediately,"Hi, I need you to process an urgent wire transfer of $27,900 to the contractor before end of day. This is time-sensitive and confidential — please don't discuss this with anyone else right now, I'm in back-to-back meetings and can't take calls. Please confirm once done.",1
Office closed Friday - public holiday,Reminder: the office will be closed on Friday for the public holiday. Normal operations resume Monday.,0
Account Verification Required Immediately,"This is an urgent request from Sarah Chen (VP of Finance). We have a confidential acquisition in progress and I need you to wire $8,750 to the escrow account below today. Do not discuss this with anyone in the office as this deal is not yet public.",1
Re: Overdue Invoice - Please Expedite,"Hi team, our vendor invoice for $27,900 is now overdue and they've threatened to pause deliveries. Please expedite payment today using the updated account details I sent separately. Keep this between us for now until I brief the CFO properly.",1
Payment Update Required Before EOD,"This is an urgent request from Sarah Chen (COO). We have a confidential acquisition in progress and I need you to wire $63,200 to the escrow account below today. Do not discuss this with anyone in the office as this deal is not yet public.",1
URGENT: Wire Transfer Approval Needed Today,"Hey, quick favor — can you purchase $8,750 in gift cards for a client appreciation gift? I need it done in the next hour, I'm stuck in back-to-back calls. Send me the codes directly once purchased, don't mention it to procurement, I'll expense it properly later.",1
URGENT: Wire Transfer Approval Needed Today,"URGENT — please update the banking details for our new supplier's account before you release today's payment run. The new routing number and account details are attached. This needs to go out before 3pm, please don't call to verify, I'm unreachable by phone for the next few hours.",1
Re: Proposal review,"Hi all, please remember to submit your timesheets by end of week through the usual portal. Reach out to HR if you run into any issues.",0
Re: Proposal review,Reminder: the office will be closed on Friday for the public holiday. Normal operations resume Monday.,0
Re: Proposal review,"Hi, following up on the invoice from last week — I've approved it through the normal process and finance should process it in the next payment cycle as usual.",0
Re: Proposal review,"Good morning, attaching the updated project timeline for your review. Let me know if you have any questions before our sync tomorrow.",0
Reminder: Timesheets due Friday,"Hi, following up on the invoice from last week — I've approved it through the normal process and finance should process it in the next payment cycle as usual.",0
Office closed Friday - public holiday,"Good morning, attaching the updated project timeline for your review. Let me know if you have any questions before our sync tomorrow.",0
Following up on invoice approval,"Hi all, please remember to submit your timesheets by end of week through the usual portal. Reach out to HR if you run into any issues.",0
Confidential Request - Action Needed,"This is an urgent request from Priya Sharma (Managing Director). We have a confidential acquisition in progress and I need you to wire $63,200 to the escrow account below today. Do not discuss this with anyone in the office as this deal is not yet public.",1
Office closed Friday - public holiday,"Hi all, please remember to submit your timesheets by end of week through the usual portal. Reach out to HR if you run into any issues.",0
Re: Proposal review,"Hi, following up on the invoice from last week — I've approved it through the normal process and finance should process it in the next payment cycle as usual.",0
Payment Update Required Before EOD,"Hey, quick favor — can you purchase $8,750 in gift cards for a client appreciation gift? I need it done in the next hour, I'm stuck in back-to-back calls. Send me the codes directly once purchased, don't mention it to procurement, I'll expense it properly later.",1
URGENT: Wire Transfer Approval Needed Today,Your account access will be suspended within 24 hours due to unusual sign-in activity. Click here to verify your credentials immediately and confirm your identity to avoid disruption to payment processing: verify-account-secure-login.com,1
Following up on invoice approval,Reminder: the office will be closed on Friday for the public holiday. Normal operations resume Monday.,0
URGENT: Wire Transfer Approval Needed Today,"Hey, quick favor — can you purchase $8,750 in gift cards for a client appreciation gift? I need it done in the next hour, I'm stuck in back-to-back calls. Send me the codes directly once purchased, don't mention it to procurement, I'll expense it properly later.",1
Office closed Friday - public holiday,Thanks for sending this over. I've reviewed the proposal and I think we're good to proceed — let's discuss next steps in our regular Monday call.,0
Following up on invoice approval,"Hi, just confirming receipt of the signed contract. I'll forward this to legal for filing and loop you in once it's fully processed.",0
Updated project timeline attached,Reminder: the office will be closed on Friday for the public holiday. Normal operations resume Monday.,0
Payment Update Required Before EOD,"URGENT — please update the banking details for the overseas vendor's account before you release today's payment run. The new routing number and account details are attached. This needs to go out before 3pm, please don't call to verify, I'm unreachable by phone for the next few hours.",1
URGENT: Wire Transfer Approval Needed Today,"Hi, I need you to process an urgent wire transfer of $27,900 to our new supplier before end of day. This is time-sensitive and confidential — please don't discuss this with anyone else right now, I'm in back-to-back meetings and can't take calls. Please confirm once done.",1
Re: Proposal review,Reminder: the office will be closed on Friday for the public holiday. Normal operations resume Monday.,0
Quarterly Budget Review - Thursday 10am,"Hi, just confirming receipt of the signed contract. I'll forward this to legal for filing and loop you in once it's fully processed.",0
Quick Favor - Time Sensitive,"Hi, I need you to process an urgent wire transfer of $63,200 to the contractor before end of day. This is time-sensitive and confidential — please don't discuss this with anyone else right now, I'm in back-to-back meetings and can't take calls. Please confirm once done.",1
URGENT: Wire Transfer Approval Needed Today,"URGENT — please update the banking details for the contractor's account before you release today's payment run. The new routing number and account details are attached. This needs to go out before 3pm, please don't call to verify, I'm unreachable by phone for the next few hours.",1
Account Verification Required Immediately,"Hi, I need you to process an urgent wire transfer of $27,900 to our logistics partner before end of day. This is time-sensitive and confidential — please don't discuss this with anyone else right now, I'm in back-to-back meetings and can't take calls. Please confirm once done.",1
Payment Update Required Before EOD,"Hey, quick favor — can you purchase $8,750 in gift cards for a client appreciation gift? I need it done in the next hour, I'm stuck in back-to-back calls. Send me the codes directly once purchased, don't mention it to procurement, I'll expense it properly later.",1
Payment Update Required Before EOD,"Hi team, our vendor invoice for $48,500 is now overdue and they've threatened to pause deliveries. Please expedite payment today using the updated account details I sent separately. Keep this between us for now until I brief the CFO properly.",1
URGENT: Wire Transfer Approval Needed Today,"This is an urgent request from Michael Torres (CEO). We have a confidential acquisition in progress and I need you to wire $115,000 to the escrow account below today. Do not discuss this with anyone in the office as this deal is not yet public.",1
Re: Proposal review,"Hi, following up on the invoice from last week — I've approved it through the normal process and finance should process it in the next payment cycle as usual.",0
Quarterly Budget Review - Thursday 10am,Thanks for sending this over. I've reviewed the proposal and I think we're good to proceed — let's discuss next steps in our regular Monday call.,0
Updated project timeline attached,"Good morning, attaching the updated project timeline for your review. Let me know if you have any questions before our sync tomorrow.",0
Re: Proposal review,"Good morning, attaching the updated project timeline for your review. Let me know if you have any questions before our sync tomorrow.",0
Payment Update Required Before EOD,"This is Priya Sharma, CFO at Vantage Holdings. I'm currently traveling and my usual assistant is unavailable. I need you to handle a payment of $27,900 discreetly today. Please don't loop in the finance team yet, I'll explain everything when I'm back. Reply to confirm you can action this now.",1
Account Verification Required Immediately,"Hey, quick favor — can you purchase $8,750 in gift cards for a client appreciation gift? I need it done in the next hour, I'm stuck in back-to-back calls. Send me the codes directly once purchased, don't mention it to procurement, I'll expense it properly later.",1
Quick Favor - Time Sensitive,"URGENT — please update the banking details for our new supplier's account before you release today's payment run. The new routing number and account details are attached. This needs to go out before 3pm, please don't call to verify, I'm unreachable by phone for the next few hours.",1
Reminder: Timesheets due Friday,"Hi team, just a reminder that the quarterly budget review is scheduled for Thursday at 10am. Please have your department numbers ready ahead of the meeting.",0
Account Verification Required Immediately,"Hi, I need you to process an urgent wire transfer of $27,900 to the contractor before end of day. This is time-sensitive and confidential — please don't discuss this with anyone else right now, I'm in back-to-back meetings and can't take calls. Please confirm once done.",1
Office closed Friday - public holiday,Thanks for sending this over. I've reviewed the proposal and I think we're good to proceed — let's discuss next steps in our regular Monday call.,0
Re: Overdue Invoice - Please Expedite,"This is Lisa Wagner, VP of Finance at Crestpoint Group. I'm currently traveling and my usual assistant is unavailable. I need you to handle a payment of $12,400 discreetly today. Please don't loop in the finance team yet, I'll explain everything when I'm back. Reply to confirm you can action this now.",1
URGENT: Wire Transfer Approval Needed Today,"URGENT — please update the banking details for the overseas vendor's account before you release today's payment run. The new routing number and account details are attached. This needs to go out before 3pm, please don't call to verify, I'm unreachable by phone for the next few hours.",1
Reminder: Timesheets due Friday,Thanks for sending this over. I've reviewed the proposal and I think we're good to proceed — let's discuss next steps in our regular Monday call.,0
Payment Update Required Before EOD,"Hi team, our vendor invoice for $115,000 is now overdue and they've threatened to pause deliveries. Please expedite payment today using the updated account details I sent separately. Keep this between us for now until I brief the CFO properly.",1
Quarterly Budget Review - Thursday 10am,Thanks for sending this over. I've reviewed the proposal and I think we're good to proceed — let's discuss next steps in our regular Monday call.,0
Following up on invoice approval,"Hi team, just a reminder that the quarterly budget review is scheduled for Thursday at 10am. Please have your department numbers ready ahead of the meeting.",0
Re: Proposal review,Thanks for sending this over. I've reviewed the proposal and I think we're good to proceed — let's discuss next steps in our regular Monday call.,0
Following up on invoice approval,"Hi team, just a reminder that the quarterly budget review is scheduled for Thursday at 10am. Please have your department numbers ready ahead of the meeting.",0
Reminder: Timesheets due Friday,"Hi, just confirming receipt of the signed contract. I'll forward this to legal for filing and loop you in once it's fully processed.",0
URGENT: Wire Transfer Approval Needed Today,Your account access will be suspended within 24 hours due to unusual sign-in activity. Click here to verify your credentials immediately and confirm your identity to avoid disruption to payment processing: verify-account-secure-login.com,1
Re: Proposal review,"Hi all, please remember to submit your timesheets by end of week through the usual portal. Reach out to HR if you run into any issues.",0
URGENT: Wire Transfer Approval Needed Today,"This is an urgent request from David Okafor (CEO). We have a confidential acquisition in progress and I need you to wire $27,900 to the escrow account below today. Do not discuss this with anyone in the office as this deal is not yet public.",1
Reminder: Timesheets due Friday,Thanks for sending this over. I've reviewed the proposal and I think we're good to proceed — let's discuss next steps in our regular Monday call.,0
Confidential Request - Action Needed,"This is an urgent request from Michael Torres (COO). We have a confidential acquisition in progress and I need you to wire $12,400 to the escrow account below today. Do not discuss this with anyone in the office as this deal is not yet public.",1
Following up on invoice approval,Thanks for sending this over. I've reviewed the proposal and I think we're good to proceed — let's discuss next steps in our regular Monday call.,0
Re: Proposal review,"Hi, following up on the invoice from last week — I've approved it through the normal process and finance should process it in the next payment cycle as usual.",0
Confidential Request - Action Needed,"Hi team, our vendor invoice for $63,200 is now overdue and they've threatened to pause deliveries. Please expedite payment today using the updated account details I sent separately. Keep this between us for now until I brief the CFO properly.",1
Re: Proposal review,"Good morning, attaching the updated project timeline for your review. Let me know if you have any questions before our sync tomorrow.",0
URGENT: Wire Transfer Approval Needed Today,"This is Lisa Wagner, Managing Director at Northbridge Ltd. I'm currently traveling and my usual assistant is unavailable. I need you to handle a payment of $115,000 discreetly today. Please don't loop in the finance team yet, I'll explain everything when I'm back. Reply to confirm you can action this now.",1
Re: Proposal review,"Hi all, please remember to submit your timesheets by end of week through the usual portal. Reach out to HR if you run into any issues.",0
Confidential Request - Action Needed,"This is Michael Torres, VP of Finance at Meridian Corp. I'm currently traveling and my usual assistant is unavailable. I need you to handle a payment of $8,750 discreetly today. Please don't loop in the finance team yet, I'll explain everything when I'm back. Reply to confirm you can action this now.",1
Reminder: Timesheets due Friday,"Hi all, please remember to submit your timesheets by end of week through the usual portal. Reach out to HR if you run into any issues.",0
Reminder: Timesheets due Friday,"Hi all, please remember to submit your timesheets by end of week through the usual portal. Reach out to HR if you run into any issues.",0
Quarterly Budget Review - Thursday 10am,"Good morning, attaching the updated project timeline for your review. Let me know if you have any questions before our sync tomorrow.",0
Re: Overdue Invoice - Please Expedite,Your account access will be suspended within 24 hours due to unusual sign-in activity. Click here to verify your credentials immediately and confirm your identity to avoid disruption to payment processing: verify-account-secure-login.com,1
URGENT: Wire Transfer Approval Needed Today,"URGENT — please update the banking details for the overseas vendor's account before you release today's payment run. The new routing number and account details are attached. This needs to go out before 3pm, please don't call to verify, I'm unreachable by phone for the next few hours.",1
Following up on invoice approval,"Hi all, please remember to submit your timesheets by end of week through the usual portal. Reach out to HR if you run into any issues.",0
Updated project timeline attached,"Hi, just confirming receipt of the signed contract. I'll forward this to legal for filing and loop you in once it's fully processed.",0
Re: Proposal review,"Good morning, attaching the updated project timeline for your review. Let me know if you have any questions before our sync tomorrow.",0
URGENT: Wire Transfer Approval Needed Today,"URGENT — please update the banking details for our logistics partner's account before you release today's payment run. The new routing number and account details are attached. This needs to go out before 3pm, please don't call to verify, I'm unreachable by phone for the next few hours.",1
URGENT: Wire Transfer Approval Needed Today,"Hi, I need you to process an urgent wire transfer of $8,750 to the overseas vendor before end of day. This is time-sensitive and confidential — please don't discuss this with anyone else right now, I'm in back-to-back meetings and can't take calls. Please confirm once done.",1
Payment Update Required Before EOD,"Hey, quick favor — can you purchase $12,400 in gift cards for a client appreciation gift? I need it done in the next hour, I'm stuck in back-to-back calls. Send me the codes directly once purchased, don't mention it to procurement, I'll expense it properly later.",1
Quick Favor - Time Sensitive,"This is an urgent request from Sarah Chen (Managing Director). We have a confidential acquisition in progress and I need you to wire $115,000 to the escrow account below today. Do not discuss this with anyone in the office as this deal is not yet public.",1
Quick Favor - Time Sensitive,"Hi team, our vendor invoice for $115,000 is now overdue and they've threatened to pause deliveries. Please expedite payment today using the updated account details I sent separately. Keep this between us for now until I brief the CFO properly.",1
Updated project timeline attached,"Hi all, please remember to submit your timesheets by end of week through the usual portal. Reach out to HR if you run into any issues.",0
Re: Overdue Invoice - Please Expedite,"URGENT — please update the banking details for the overseas vendor's account before you release today's payment run. The new routing number and account details are attached. This needs to go out before 3pm, please don't call to verify, I'm unreachable by phone for the next few hours.",1
Confidential Request - Action Needed,"Hi, I need you to process an urgent wire transfer of $115,000 to the contractor before end of day. This is time-sensitive and confidential — please don't discuss this with anyone else right now, I'm in back-to-back meetings and can't take calls. Please confirm once done.",1
Following up on invoice approval,Thanks for sending this over. I've reviewed the proposal and I think we're good to proceed — let's discuss next steps in our regular Monday call.,0
Payment Update Required Before EOD,Your account access will be suspended within 24 hours due to unusual sign-in activity. Click here to verify your credentials immediately and confirm your identity to avoid disruption to payment processing: verify-account-secure-login.com,1
Confidential Request - Action Needed,"Hey, quick favor — can you purchase $27,900 in gift cards for a client appreciation gift? I need it done in the next hour, I'm stuck in back-to-back calls. Send me the codes directly once purchased, don't mention it to procurement, I'll expense it properly later.",1
Re: Overdue Invoice - Please Expedite,"URGENT — please update the banking details for the overseas vendor's account before you release today's payment run. The new routing number and account details are attached. This needs to go out before 3pm, please don't call to verify, I'm unreachable by phone for the next few hours.",1
Quick Favor - Time Sensitive,"Hey, quick favor — can you purchase $8,750 in gift cards for a client appreciation gift? I need it done in the next hour, I'm stuck in back-to-back calls. Send me the codes directly once purchased, don't mention it to procurement, I'll expense it properly later.",1
Office closed Friday - public holiday,"Good morning, attaching the updated project timeline for your review. Let me know if you have any questions before our sync tomorrow.",0
Following up on invoice approval,"Hi, following up on the invoice from last week — I've approved it through the normal process and finance should process it in the next payment cycle as usual.",0
Re: Overdue Invoice - Please Expedite,"Hi, I need you to process an urgent wire transfer of $48,500 to our logistics partner before end of day. This is time-sensitive and confidential — please don't discuss this with anyone else right now, I'm in back-to-back meetings and can't take calls. Please confirm once done.",1
Office closed Friday - public holiday,"Hi, just confirming receipt of the signed contract. I'll forward this to legal for filing and loop you in once it's fully processed.",0
Reminder: Timesheets due Friday,"Hi team, just a reminder that the quarterly budget review is scheduled for Thursday at 10am. Please have your department numbers ready ahead of the meeting.",0
URGENT: Wire Transfer Approval Needed Today,"Hi, I need you to process an urgent wire transfer of $48,500 to the overseas vendor before end of day. This is time-sensitive and confidential — please don't discuss this with anyone else right now, I'm in back-to-back meetings and can't take calls. Please confirm once done.",1
Confidential Request - Action Needed,"Hey, quick favor — can you purchase $48,500 in gift cards for a client appreciation gift? I need it done in the next hour, I'm stuck in back-to-back calls. Send me the codes directly once purchased, don't mention it to procurement, I'll expense it properly later.",1
Quick Favor - Time Sensitive,"URGENT — please update the banking details for the contractor's account before you release today's payment run. The new routing number and account details are attached. This needs to go out before 3pm, please don't call to verify, I'm unreachable by phone for the next few hours.",1
Reminder: Timesheets due Friday,"Good morning, attaching the updated project timeline for your review. Let me know if you have any questions before our sync tomorrow.",0
Re: Proposal review,Reminder: the office will be closed on Friday for the public holiday. Normal operations resume Monday.,0
Office closed Friday - public holiday,"Hi team, just a reminder that the quarterly budget review is scheduled for Thursday at 10am. Please have your department numbers ready ahead of the meeting.",0
Payment Update Required Before EOD,"This is Michael Torres, CEO at Meridian Corp. I'm currently traveling and my usual assistant is unavailable. I need you to handle a payment of $63,200 discreetly today. Please don't loop in the finance team yet, I'll explain everything when I'm back. Reply to confirm you can action this now.",1
Quick Favor - Time Sensitive,"Hey, quick favor — can you purchase $8,750 in gift cards for a client appreciation gift? I need it done in the next hour, I'm stuck in back-to-back calls. Send me the codes directly once purchased, don't mention it to procurement, I'll expense it properly later.",1
Following up on invoice approval,"Hi all, please remember to submit your timesheets by end of week through the usual portal. Reach out to HR if you run into any issues.",0
Reminder: Timesheets due Friday,"Good morning, attaching the updated project timeline for your review. Let me know if you have any questions before our sync tomorrow.",0
Office closed Friday - public holiday,"Hi, just confirming receipt of the signed contract. I'll forward this to legal for filing and loop you in once it's fully processed.",0
Quick Favor - Time Sensitive,"URGENT — please update the banking details for the contractor's account before you release today's payment run. The new routing number and account details are attached. This needs to go out before 3pm, please don't call to verify, I'm unreachable by phone for the next few hours.",1
Confidential Request - Action Needed,"This is Lisa Wagner, COO at Northbridge Ltd. I'm currently traveling and my usual assistant is unavailable. I need you to handle a payment of $27,900 discreetly today. Please don't loop in the finance team yet, I'll explain everything when I'm back. Reply to confirm you can action this now.",1
Updated project timeline attached,"Good morning, attaching the updated project timeline for your review. Let me know if you have any questions before our sync tomorrow.",0
Following up on invoice approval,"Good morning, attaching the updated project timeline for your review. Let me know if you have any questions before our sync tomorrow.",0
Account Verification Required Immediately,"This is Lisa Wagner, Managing Director at Silverline Inc. I'm currently traveling and my usual assistant is unavailable. I need you to handle a payment of $48,500 discreetly today. Please don't loop in the finance team yet, I'll explain everything when I'm back. Reply to confirm you can action this now.",1
Reminder: Timesheets due Friday,Thanks for sending this over. I've reviewed the proposal and I think we're good to proceed — let's discuss next steps in our regular Monday call.,0
Quarterly Budget Review - Thursday 10am,Thanks for sending this over. I've reviewed the proposal and I think we're good to proceed — let's discuss next steps in our regular Monday call.,0
Re: Proposal review,"Hi, just confirming receipt of the signed contract. I'll forward this to legal for filing and loop you in once it's fully processed.",0
Updated project timeline attached,"Good morning, attaching the updated project timeline for your review. Let me know if you have any questions before our sync tomorrow.",0
Updated project timeline attached,"Good morning, attaching the updated project timeline for your review. Let me know if you have any questions before our sync tomorrow.",0
Re: Overdue Invoice - Please Expedite,"Hi team, our vendor invoice for $8,750 is now overdue and they've threatened to pause deliveries. Please expedite payment today using the updated account details I sent separately. Keep this between us for now until I brief the CFO properly.",1
Account Verification Required Immediately,"Hi, I need you to process an urgent wire transfer of $12,400 to the overseas vendor before end of day. This is time-sensitive and confidential — please don't discuss this with anyone else right now, I'm in back-to-back meetings and can't take calls. Please confirm once done.",1
Updated project timeline attached,"Hi, following up on the invoice from last week — I've approved it through the normal process and finance should process it in the next payment cycle as usual.",0
Re: Overdue Invoice - Please Expedite,"This is an urgent request from Priya Sharma (CFO). We have a confidential acquisition in progress and I need you to wire $48,500 to the escrow account below today. Do not discuss this with anyone in the office as this deal is not yet public.",1
Account Verification Required Immediately,"Hi team, our vendor invoice for $12,400 is now overdue and they've threatened to pause deliveries. Please expedite payment today using the updated account details I sent separately. Keep this between us for now until I brief the CFO properly.",1
URGENT: Wire Transfer Approval Needed Today,"This is Sarah Chen, COO at Vantage Holdings. I'm currently traveling and my usual assistant is unavailable. I need you to handle a payment of $27,900 discreetly today. Please don't loop in the finance team yet, I'll explain everything when I'm back. Reply to confirm you can action this now.",1
Confidential Request - Action Needed,"Hi team, our vendor invoice for $48,500 is now overdue and they've threatened to pause deliveries. Please expedite payment today using the updated account details I sent separately. Keep this between us for now until I brief the CFO properly.",1
Confidential Request - Action Needed,Your account access will be suspended within 24 hours due to unusual sign-in activity. Click here to verify your credentials immediately and confirm your identity to avoid disruption to payment processing: verify-account-secure-login.com,1
URGENT: Wire Transfer Approval Needed Today,"This is an urgent request from Michael Torres (COO). We have a confidential acquisition in progress and I need you to wire $27,900 to the escrow account below today. Do not discuss this with anyone in the office as this deal is not yet public.",1
Updated project timeline attached,"Hi all, please remember to submit your timesheets by end of week through the usual portal. Reach out to HR if you run into any issues.",0
Quick Favor - Time Sensitive,"This is Priya Sharma, Managing Director at Vantage Holdings. I'm currently traveling and my usual assistant is unavailable. I need you to handle a payment of $8,750 discreetly today. Please don't loop in the finance team yet, I'll explain everything when I'm back. Reply to confirm you can action this now.",1
Office closed Friday - public holiday,"Hi all, please remember to submit your timesheets by end of week through the usual portal. Reach out to HR if you run into any issues.",0
Re: Proposal review,Thanks for sending this over. I've reviewed the proposal and I think we're good to proceed — let's discuss next steps in our regular Monday call.,0
URGENT: Wire Transfer Approval Needed Today,"Hi, I need you to process an urgent wire transfer of $115,000 to the contractor before end of day. This is time-sensitive and confidential — please don't discuss this with anyone else right now, I'm in back-to-back meetings and can't take calls. Please confirm once done.",1
Updated project timeline attached,"Hi all, please remember to submit your timesheets by end of week through the usual portal. Reach out to HR if you run into any issues.",0
Updated project timeline attached,Reminder: the office will be closed on Friday for the public holiday. Normal operations resume Monday.,0
Quarterly Budget Review - Thursday 10am,"Good morning, attaching the updated project timeline for your review. Let me know if you have any questions before our sync tomorrow.",0
Quick Favor - Time Sensitive,"URGENT — please update the banking details for our logistics partner's account before you release today's payment run. The new routing number and account details are attached. This needs to go out before 3pm, please don't call to verify, I'm unreachable by phone for the next few hours.",1
Office closed Friday - public holiday,"Hi, just confirming receipt of the signed contract. I'll forward this to legal for filing and loop you in once it's fully processed.",0
Re: Overdue Invoice - Please Expedite,"Hi, I need you to process an urgent wire transfer of $27,900 to the contractor before end of day. This is time-sensitive and confidential — please don't discuss this with anyone else right now, I'm in back-to-back meetings and can't take calls. Please confirm once done.",1
Re: Proposal review,"Hi, just confirming receipt of the signed contract. I'll forward this to legal for filing and loop you in once it's fully processed.",0
Re: Overdue Invoice - Please Expedite,"Hi, I need you to process an urgent wire transfer of $115,000 to the overseas vendor before end of day. This is time-sensitive and confidential — please don't discuss this with anyone else right now, I'm in back-to-back meetings and can't take calls. Please confirm once done.",1
Payment Update Required Before EOD,Your account access will be suspended within 24 hours due to unusual sign-in activity. Click here to verify your credentials immediately and confirm your identity to avoid disruption to payment processing: verify-account-secure-login.com,1
URGENT: Wire Transfer Approval Needed Today,"Hey, quick favor — can you purchase $12,400 in gift cards for a client appreciation gift? I need it done in the next hour, I'm stuck in back-to-back calls. Send me the codes directly once purchased, don't mention it to procurement, I'll expense it properly later.",1
Office closed Friday - public holiday,"Hi, just confirming receipt of the signed contract. I'll forward this to legal for filing and loop you in once it's fully processed.",0
Quarterly Budget Review - Thursday 10am,Reminder: the office will be closed on Friday for the public holiday. Normal operations resume Monday.,0
Reminder: Timesheets due Friday,"Hi, just confirming receipt of the signed contract. I'll forward this to legal for filing and loop you in once it's fully processed.",0
Re: Proposal review,"Hi all, please remember to submit your timesheets by end of week through the usual portal. Reach out to HR if you run into any issues.",0
Payment Update Required Before EOD,Your account access will be suspended within 24 hours due to unusual sign-in activity. Click here to verify your credentials immediately and confirm your identity to avoid disruption to payment processing: verify-account-secure-login.com,1
Re: Proposal review,Thanks for sending this over. I've reviewed the proposal and I think we're good to proceed — let's discuss next steps in our regular Monday call.,0
Account Verification Required Immediately,"URGENT — please update the banking details for the contractor's account before you release today's payment run. The new routing number and account details are attached. This needs to go out before 3pm, please don't call to verify, I'm unreachable by phone for the next few hours.",1
Quarterly Budget Review - Thursday 10am,"Hi all, please remember to submit your timesheets by end of week through the usual portal. Reach out to HR if you run into any issues.",0
Reminder: Timesheets due Friday,"Hi, following up on the invoice from last week — I've approved it through the normal process and finance should process it in the next payment cycle as usual.",0
Payment Update Required Before EOD,"Hey, quick favor — can you purchase $115,000 in gift cards for a client appreciation gift? I need it done in the next hour, I'm stuck in back-to-back calls. Send me the codes directly once purchased, don't mention it to procurement, I'll expense it properly later.",1
Updated project timeline attached,"Hi team, just a reminder that the quarterly budget review is scheduled for Thursday at 10am. Please have your department numbers ready ahead of the meeting.",0
Following up on invoice approval,"Hi all, please remember to submit your timesheets by end of week through the usual portal. Reach out to HR if you run into any issues.",0
Quarterly Budget Review - Thursday 10am,"Hi, just confirming receipt of the signed contract. I'll forward this to legal for filing and loop you in once it's fully processed.",0
Re: Overdue Invoice - Please Expedite,"Hey, quick favor — can you purchase $115,000 in gift cards for a client appreciation gift? I need it done in the next hour, I'm stuck in back-to-back calls. Send me the codes directly once purchased, don't mention it to procurement, I'll expense it properly later.",1
Reminder: Timesheets due Friday,"Hi all, please remember to submit your timesheets by end of week through the usual portal. Reach out to HR if you run into any issues.",0
Quarterly Budget Review - Thursday 10am,"Good morning, attaching the updated project timeline for your review. Let me know if you have any questions before our sync tomorrow.",0
Re: Proposal review,"Hi, following up on the invoice from last week — I've approved it through the normal process and finance should process it in the next payment cycle as usual.",0
Re: Proposal review,"Hi all, please remember to submit your timesheets by end of week through the usual portal. Reach out to HR if you run into any issues.",0
Payment Update Required Before EOD,"This is Lisa Wagner, CEO at Meridian Corp. I'm currently traveling and my usual assistant is unavailable. I need you to handle a payment of $115,000 discreetly today. Please don't loop in the finance team yet, I'll explain everything when I'm back. Reply to confirm you can action this now.",1
Updated project timeline attached,"Hi all, please remember to submit your timesheets by end of week through the usual portal. Reach out to HR if you run into any issues.",0
URGENT: Wire Transfer Approval Needed Today,"Hi team, our vendor invoice for $115,000 is now overdue and they've threatened to pause deliveries. Please expedite payment today using the updated account details I sent separately. Keep this between us for now until I brief the CFO properly.",1
Re: Overdue Invoice - Please Expedite,"Hi team, our vendor invoice for $27,900 is now overdue and they've threatened to pause deliveries. Please expedite payment today using the updated account details I sent separately. Keep this between us for now until I brief the CFO properly.",1
Account Verification Required Immediately,"URGENT — please update the banking details for our new supplier's account before you release today's payment run. The new routing number and account details are attached. This needs to go out before 3pm, please don't call to verify, I'm unreachable by phone for the next few hours.",1
Reminder: Timesheets due Friday,"Hi, just confirming receipt of the signed contract. I'll forward this to legal for filing and loop you in once it's fully processed.",0
Quarterly Budget Review - Thursday 10am,Reminder: the office will be closed on Friday for the public holiday. Normal operations resume Monday.,0
Account Verification Required Immediately,"Hi, I need you to process an urgent wire transfer of $12,400 to the contractor before end of day. This is time-sensitive and confidential — please don't discuss this with anyone else right now, I'm in back-to-back meetings and can't take calls. Please confirm once done.",1
Payment Update Required Before EOD,"This is an urgent request from David Okafor (VP of Finance). We have a confidential acquisition in progress and I need you to wire $63,200 to the escrow account below today. Do not discuss this with anyone in the office as this deal is not yet public.",1
Re: Proposal review,"Hi, just confirming receipt of the signed contract. I'll forward this to legal for filing and loop you in once it's fully processed.",0
